vocab_file,slug,label,ontology,curie,term_label,match_type,notes
spheres.csv,atmosphere,Atmosphere,envo,ENVO:01000267,atmosphere,exact,"OLS defines ENVO:01000267 as 'a layer of gases surrounding a material body of sufficient mass that is held in place by the gravity of the body', which is precisely the planetary-sphere concept the LTO row denotes (the astronomical-body-part term, as preferred for spheres)."
spheres.csv,cryosphere,Cryosphere,envo,ENVO:03000143,cryosphere,exact,"OLS defines ENVO:03000143 as 'an astronomical body part which is composed primarily of environmental materials in their frozen form', exactly the snow/ice/glacier/permafrost sphere the row describes."
spheres.csv,terrestrial,Terrestrial / Ecological,envo,ENVO:00000446,terrestrial biome,exact,"OLS defines ENVO:00000446 as 'a biome which is primarily or completely situated on a landmass', the biome-branch umbrella whose subclasses (woodland, shrubland, anthropogenic settlement, etc.) span the row's forests, grasslands, shrublands, deserts, alpine, and urban ecosystems."
spheres.csv,agriculture,Agriculture,envo,ENVO:01000245,cropland biome,close,"OLS defines ENVO:01000245 as 'a cropland ecosystem which is undergoing climactic ecological succession', where cropland ecosystem is 'determined by communities of annual crops, perennial woody crops, or actively tilled land and primarily used for agricultural activity' — the biome-branch term for managed agroecosystems, though it covers cultivated land only and not grazing agroecosystems (rangeland biome is a sibling), hence close rather than exact."
spheres.csv,ocean-estuarine,Aquatic — Ocean & Estuarine,envo,ENVO:00000447,marine biome,close,"OLS defines ENVO:00000447 as the biome including 'open-ocean and unprotected coastal ecosystems' with seawater salinity, and a hierarchy query confirmed estuarine biome (ENVO:01000020) is its descendant, so it subsumes both halves of the row; the textual definition emphasizes open ocean over estuaries, hence close rather than exact."
spheres.csv,freshwater,Aquatic — Freshwater,envo,ENVO:00000873,freshwater biome,exact,"OLS defines ENVO:00000873 as 'an aquatic biome which is determined by a body of freshwater', the biome-branch umbrella whose river and lake subclasses cover the row's rivers, streams, lakes, and watersheds."
ecosystem_types.csv,arctic-alpine,Arctic and alpine,envo,ENVO:01000180,tundra biome,close,"OLS defines it as 'a tundra ecosystem which is undergoing climactic ecological succession' and it subsumes both arctic tundra and the alpine tundra biome (ENVO:01001505), matching the tundra-and-alpine scope, though Antarctic dry valleys lean toward polar desert."
ecosystem_types.csv,arid-land,Arid land,envo,ENVO:01000179,desert biome,close,"OLS defines it as 'a desert ecosystem which is undergoing climactic ecological succession', the umbrella over hot, cold, temperate, and polar desert biomes; semi-arid shrublands sit just outside strict desert, so close rather than exact."
ecosystem_types.csv,coastal,Coastal,envo,ENVO:00000447,marine biome,broad,"ENVO has no dedicated coastal biome; the marine biome definition explicitly 'includes open-ocean and unprotected coastal ecosystems, characterized by exposure to wave action, tidal fluctuation, and ocean currents', making it the umbrella over the coastal, coral reef, and kelp systems in this row."
ecosystem_types.csv,eastern-forest,Eastern forest,envo,ENVO:01000212,temperate mixed forest biome,close,"OLS defines it as 'a temperate mixed forest in which dominant ecological communities have reached their climax successional state', which denotes the mixed deciduous-broadleaf-plus-pine forests this row describes, though the row's regional (eastern North America) framing is narrower."
ecosystem_types.csv,western-forest,Western forest,envo,ENVO:01000211,temperate coniferous forest biome,close,"OLS defines it as 'a coniferous forest biome which is subject to temperate climate patterns', which denotes conifer-dominated forests such as PNW old-growth, though the ENVO class is global rather than restricted to western North America."
