topic_id,label,notes
T10895,Species Distribution and Climate Change,"terrestrial; core LTER/NEON science"
T12713,Forest Ecology and Biodiversity Studies,"terrestrial; EFR/LTER forests"
T11312,Soil Moisture and Remote Sensing,"agriculture; SCAN/flux networks"
T10255,Oceanographic and Atmospheric Processes,"ocean; OOI/IOOS core"
T10765,Marine Biology and Ecology Research,"ocean; sanctuaries/MarineGEO"
T11594,Tree-ring climate responses,"terrestrial; long-term records by definition"
T10236,Aquatic Ecosystems and Phytoplankton Dynamics,"freshwater; GLEON/NTL-LTER"
T14468,Plant Ecology and Soil Science,"terrestrial"
T10302,Fish Ecology and Management Studies,"freshwater/ocean"
T10230,Marine and fisheries research,"ocean"
T10089,Avian ecology and behavior,"terrestrial; long-term bird monitoring"
T12773,Water Quality and Resources Studies,"freshwater; NARS/NWIS"
T14039,Ecology and biodiversity studies,"terrestrial; general ecology"
T11791,Microbial Community Ecology and Physiology,"terrestrial/freshwater; NEON soils"
T10199,Wildlife Ecology and Conservation,"terrestrial; NWRS/NPS-IM"
T10330,Hydrology and Watershed Management Studies,"freshwater; WEBB/HBN watersheds"
T10029,Climate variability and models,"atmosphere"
T10032,Marine and coastal ecosystems,"ocean/estuarine"
T11753,Forest Management and Policy,"terrestrial; USFS EFR"
T10644,Cryospheric studies and observations,"cryosphere; benchmark glaciers"
T10004,Soil Carbon and Nitrogen Dynamics,"agriculture/biogeochemistry; LTAR"
T10466,Meteorological Phenomena and Simulations,"atmosphere; surface met networks"
T11880,Forest ecology and management,"terrestrial"
T10643,Marine and coastal plant biology,"estuarine; seagrass/marsh"
T10005,Ecology and Vegetation Dynamics Studies,"terrestrial"
T11320,Atmospheric Ozone and Climate,"atmosphere; GML baseline"
T10555,Fire effects on ecosystems,"terrestrial; fire-history networks"
T10266,Plant Water Relations and Carbon Dynamics,"atmosphere/terrestrial; AmeriFlux"
T10341,Coral and Marine Ecosystems Studies,"ocean; reef monitoring"
T12091,Peatlands and Wetlands Ecology,"wetland"
T12467,Rangeland Management and Livestock Ecology,"agriculture; ARS rangelands"
T10647,Coastal and Marine Dynamics,"ocean/estuarine"
T10577,Hydrology and Sediment Transport Processes,"freshwater"
T10889,Soil erosion and sediment transport,"agriculture; LTAR"
T12180,Polar Research and Ecology,"cryosphere; Toolik/McMurdo"
T12073,Isotope Analysis in Ecology,"biogeochemistry"
T10779,Coastal wetland ecosystem dynamics,"estuarine; NERRS"
T11333,Climate change and permafrost,"cryosphere"
T11311,Soil and Water Nutrient Dynamics,"agriculture/freshwater"
T10398,Groundwater and Isotope Geochemistry,"freshwater; USGS groundwater"
T11186,Hydrology and Drought Analysis,"freshwater/climate"
T10439,Climate change impacts on agriculture,"agriculture; Climate Hubs"
T13377,Ecosystem dynamics and resilience,"terrestrial; LTER core concept"
T12310,Crop Yield and Soil Fertility,"agriculture; long-term ag experiments"
T12436,Agronomic Practices and Intercropping Systems,"agriculture; long-term ag experiments"
