archive_id,field,new_value,verdict,evidence
usgs-streamstats,api_url,https://streamstats.usgs.gov/ss-delineate/,api-decommissioned,"legacy /streamstatsservices/ root is IIS 404; ss-delineate is the replacement API"
usgs-streamstats,api_doc_url,https://streamstats.usgs.gov/ss-delineate/docs,api-decommissioned,"old /docs/streamstatsservices/ 302s here; verified 200. OpenAPI spec at /ss-delineate/openapi.json"
glos-erddap,base_url,https://seagull-erddap.glos.org/erddap/,host-dead,"tds.glos.us times out on http and https; new host verified 200"
glos-erddap,api_url,https://seagull-erddap.glos.org/erddap/,host-dead,"same host move"
glos-erddap,api_doc_url,https://seagull-erddap.glos.org/erddap/index.html,host-dead,"same host move"
maracoos-erddap,base_url,https://erddap.maracoos.org/erddap/,host-moved,"maracoos.org/erddap/ redirects to the org marketing homepage; erddap.maracoos.org verified 200"
maracoos-erddap,api_url,https://erddap.maracoos.org/erddap/,host-moved,"same"
maracoos-erddap,api_doc_url,https://erddap.maracoos.org/erddap/index.html,host-moved,"old index.html bullet also landed on the homepage"
neracoos-erddap,base_url,https://data.neracoos.org/erddap/,host-moved,"www.neracoos.org/erddap/* redirects discard the path and query, so no documented deep link reaches data; data.neracoos.org verified"
neracoos-erddap,api_url,https://data.neracoos.org/erddap/,host-moved,"same"
neracoos-erddap,api_doc_url,https://data.neracoos.org/erddap/index.html,host-moved,"same"
bco-dmo,api_url,https://www.bco-dmo.org/api,api-path-changed,"documented /api/v1 root is 404; /api verified (redirects to osprey.bco-dmo.org/api)"
marinegeo,api_url,https://github.com/MarineGEO/protocols,repo-renamed,"MarineGEO/marinegeo-database does not exist; protocols is the live repo, verified 200"
marinegeo,api_doc_url,https://marinegeo.si.edu/,repo-renamed,"marinegeo.github.io/protocols/ is 404; the SI site is live"
mgds,api_doc_url,https://www.marine-geo.org/tools/web_services.php,api-path-changed,"documented /tools/services.php is 404; web_services.php is where /services/ redirects and is verified 200"
nadp,api_url,https://api.slh.wisc.edu/nadp/nadpApiMain.php,api-migrated,"documented cgi-bin root is 403; the site's own data-download.js posts here, verified 200 text/csv and JSON siteInfo"
usda-ag-data-commons,base_url,https://agdatacommons.nal.usda.gov/,api-migrated,"data.nal.usda.gov 301s to an NAL landing page; the Figshare-hosted portal is verified 200"
usda-ag-data-commons,api_url,https://api.figshare.com/v2,api-migrated,"the CKAN /api/3 tree is gone; Figshare v2 verified with real Ag Data Commons records. Note the portal's own /api path is 404 - the API host is api.figshare.com"
usgs-3dep,api_url,https://tnmaccess.nationalmap.gov/api/v1/,host-moved,"apps.nationalmap.gov/tnmaccess/api/* now serves the frontend SPA; tnmaccess host verified 200 JSON with unchanged parameters (bare root 403 Missing Authentication Token is normal API-Gateway behaviour, /products needs no key)"
