endpoint_id,archive_id,purpose,field,new_value,verdict,evidence
aff4a3d666e47894,usgs-streamstats,data-download,path_or_url,https://streamstats.usgs.gov/ss-delineate/v1/delineate/features/{state}?lat={lat}&lon={lon},api-decommissioned,legacy streamstatsservices decommissioned 2026-01-30; new endpoint verified 200 with a 37.8 KB GeoJSON FeatureCollection (pourpoint + basin polygon). includeparameters= has no replacement: USGS states the Flow Statistics endpoints are being retired with a notebook workflow instead.
aff4a3d666e47894,usgs-streamstats,data-download,example_call,curl 'https://streamstats.usgs.gov/ss-delineate/v1/delineate/features/NY?lat=43.939&lon=-74.524',api-decommissioned,"same call as the old example, new API; verified 200 application/geo+json"
f5c199c3f5238570,usgs-nwis,data-download,path_or_url,https://api.waterdata.usgs.gov/ogcapi/v0/collections/field-measurements/items?monitoring_location_id={site_no}&f=json,api-decommissioned,"waterservices gwlevels 301s to the decom notice: data froze 2025-11-01, redirects 2026-02-01, decommission 2026-06-01. Replacement field-measurements API verified 200 GeoJSON, no key needed. iv/dv/site/stat on waterservices are NOT yet retired (no announced date)."
f5c199c3f5238570,usgs-nwis,data-download,example_call,curl 'https://api.waterdata.usgs.gov/ogcapi/v0/collections/field-measurements/items?state_name=Alaska&parameter_code=72019&limit=2&f=json',api-decommissioned,verified 200 GeoJSON
434c785e6640da60,whoi-oa,listing,path_or_url,https://darchive.mblwhoilibrary.org/server/oai/request?verb=ListRecords&metadataPrefix=oai_dc,host-path-moved,DSpace 7 moved the OAI base to /server/oai/request; the old path returns 308 KB of Angular SPA HTML with a 404 status. verb=Identify on the new path returns text/xml <repositoryName>WHOAS at MBLWHOI Library</repositoryName>. The documented set=col_1912_4 returns noRecordsMatch even on the correct path.
434c785e6640da60,whoi-oa,listing,example_call,curl 'https://darchive.mblwhoilibrary.org/server/oai/request?verb=ListRecords&metadataPrefix=oai_dc&set=col_1912_531',host-path-moved,"verified 200, 27 KB XML with records; setSpec taken from verb=ListSets"
f98465e0bafd66bf,whoi-oa,data-download,example_call,curl -L https://hdl.handle.net/1912/20957,fabricated-example-id,"documented handle 1912/12345 does not exist (404 'The handle you requested -- 1912/12345 -- cannot be'); 1912/20957 verified 200, redirects to darchive.mblwhoilibrary.org/handle/1912/20957"
a75390d577608dda,usgs-sciencebase,metadata,example_call,curl 'https://www.sciencebase.gov/catalog/item/52b1dfa8e4b0d9b325230cd9?format=json',fabricated-example-id,"documented item id 5fb7c8c5d34e30b9123abc12 returns 404 JSON 'Item not found for ID='; endpoint pattern is correct. Replacement verified 200, 14.6 KB JSON, North American Breeding Bird Survey."
8f2f65d1370973c3,glos-erddap,data-download,path_or_url,https://seagull-erddap.glos.org/erddap/tabledap/{datasetID}.csv?{vars}&time%3E={start}&time%3C={end},host-dead,tds.glos.us DNS-resolves but times out on http and https (curl 28). New host verified 200 with real CSV. Time operators percent-encoded: unencoded >= makes several ERDDAP front ends 400/500.
8f2f65d1370973c3,glos-erddap,data-download,example_call,curl 'https://seagull-erddap.glos.org/erddap/tabledap/obs_71_latest.csv',host-dead,"verified 200 real CSV with sea_surface_temperature, sea_surface_wave_significant_height"
77ac05c36fc1b2e9,glos-erddap,data-download,DELETE-ROW,,protocol-absent,"griddap is not merely on the wrong host: seagull-erddap.glos.org/erddap/griddap/index.json returns 400 'Currently, there are no datasets with protocol=griddap'. No GLOS griddap host found (GLCFS lives on NOAA GLERL THREDDS, unverified). Row should be dropped rather than repointed."
3a8388b5f26b29b1,maracoos-erddap,data-download,path_or_url,https://erddap.maracoos.org/erddap/tabledap/{datasetID}.csv?{vars}&time%3E={start}&time%3C={end},host-moved,"maracoos.org/erddap/ redirects to the org homepage (title 'Homepage - MARACOOS'), not an ERDDAP. erddap.maracoos.org verified 200."
86645a8dee998555,maracoos-erddap,data-download,path_or_url,https://erddap.maracoos.org/erddap/griddap/{datasetID}.nc?{var}[({t0}):({t1})][({lat0}):({lat1})][({lon0}):({lon1})],host-moved,"verified 200 application/x-netcdf 8340 bytes for MODIS_AQUA_1_day. Note that dataset's time axis ends 2022-10-02, so a 2024 window 404s."
86645a8dee998555,maracoos-erddap,data-download,example_call,curl -g -O 'https://erddap.maracoos.org/erddap/griddap/MODIS_AQUA_1_day.nc?sst[(2022-09-01):(2022-09-01)][(35):(35.2)][(-75):(-74.8)]',host-moved,verified 200 netCDF. -g is required: curl treats [ ] as a glob range and fails with 'bad range specification' otherwise.
