slug,label,description
repository,Data repository,"Long-term scientific data repository (EDI, DataONE, ESS-DIVE, BCO-DMO, NSIDC, Pangaea, Zenodo, Figshare)."
data-portal,Data portal,"Agency-operated data portal with search + download (NEON Data Portal, USGS NWIS, NOAA NCEI, USDA Ag Data Commons)."
thredds-server,THREDDS server,"OPeNDAP / THREDDS data server for gridded NetCDF (UCAR Unidata stack)."
erddap-server,ERDDAP server,"NOAA ERDDAP / IOOS-DMAC tabular + gridded data server."
erddap,ERDDAP server (alias),"Alias for erddap-server — accepted for agent flexibility."
observatory-network,Observatory network,"Network of monitoring observatories with shared data management (NERRS / SWMP, OOI Coastal Endurance, MarineGEO)."
lab-archive,Institutional lab archive,"Single-laboratory or single-institution data archive (Scripps CO2, WHOI Open Access, MBARI archive)."
product-suite,Product suite,"Single-data-product family (NSIDC Sea Ice Index, NOAA OISST, NEON AOP)."
federation,Repository federation,"Federation of partnering repositories (DataONE)."
network,Generic network,"Generic network slot used when no other archive_type fits."
stac-catalog,STAC catalog,"SpatioTemporal Asset Catalog (NASA, USGS Landsat / 3DEP, NOAA, AWS Open Data)."
oai-pmh,OAI-PMH provider,"Metadata-only Open Archives Initiative endpoint."
data-cube,Data cube,"Pre-aggregated multi-dimensional cube (Open Data Cube, GEE, Microsoft Planetary Computer)."
bucket,Cloud-bucket archive,"Direct cloud-storage object archive (S3 / GCS / Azure / OpenStack Swift)."
api,API service,"REST / GraphQL API not backed by a single addressable repository."
aggregator,Cross-archive aggregator,"Federation that wraps multiple archives (DataONE, GBIF, OBIS, GEOSS, NCEI)."
package-manager,Package distribution,"Python / R / Conda package distributing software + reference data (CRAN, PyPI, Bioconductor)."
synthesis-consortium,Synthesis consortium,"International / cross-archive synthesis aggregator (WGMS Fluctuations of Glaciers, GLIMS, RGI, FLUXNET2015) — adds value beyond a passthrough federation."
knowledge-network,Knowledge network,"Region- or topic-focused knowledge hub linking many resources but holding minimal canonical data (USDA Climate Hubs, ESIP, SHRUB-Hub)."
program,Agency program,"Program-level entity that publishes data via multiple downstream archives (USGS WEBB, USGS 3DEP, EPA NEP, NOAA Sea Grant)."
service,Web service,"Single-purpose web service (StreamStats, NWIS WaterServices, NASS Quick Stats CropScape WMS) — not a repository in itself."
