slug,label,source,description
arctic-alpine,Arctic and alpine,EcoTrends,"Tundra and alpine systems including Antarctic terrestrial dry-valley sites."
arid-land,Arid land,EcoTrends,"Hot and cold deserts, semi-arid shrublands."
coastal,Coastal,EcoTrends,"Coastal and estuarine systems including coral-reef and kelp-forest sites."
eastern-forest,Eastern forest,EcoTrends,"Mixed deciduous and pine forests east of the Mississippi."
western-forest,Western forest,EcoTrends,"Conifer-dominated forests west of the Mississippi, including Pacific Northwest old-growth."
grassland-savanna,Temperate grassland and savanna,EcoTrends,"Tallgrass, mixedgrass, and shortgrass prairie; oak savanna."
urban,Urban,EcoTrends,"Urban ecosystems with associated suburban and exurban gradient."
boreal-forest,Boreal forest,WWF biome,"Taiga / boreal coniferous forest, primarily Alaska."
tropical-moist-forest,Tropical / subtropical moist forest,WWF biome,"Caribbean and Pacific-island moist forest (e.g. Luquillo)."
freshwater-lake,Freshwater lake,EcoTrends,"Inland temperate and subarctic lakes."
freshwater-stream,Freshwater stream / watershed,EcoTrends,"Headwater catchments and gauged watersheds."
wetland,Wetland,WWF biome,"Inland and coastal wetlands."
agroecosystem,Agroecosystem,LTAR,"Cropping or rangeland systems under long-term agricultural management."
glacier-icefield,Glacier / icefield,custom,"Glaciers, icefields, and ice sheets monitored as discrete systems."
